"index","word","meaning","category"
"1","Cantidad","数字","Cantidad"
"2","uno","一","Cantidad"
"3","dos","二","Cantidad"
"4","tres","三","Cantidad"
"5","cuatro","四","Cantidad"
"6","cinco","五","Cantidad"
"7","seis","六","Cantidad"
"8","siete","七","Cantidad"
"9","ocho","八","Cantidad"
"10","nueve","九","Cantidad"
"11","diez","十","Cantidad"
"12","cien(ciento)","百","Cantidad"
"13","mil","千","Cantidad"
"14","diez mil","万","Cantidad"
"15","cien millones","亿","Cantidad"
"16","cero","零","Cantidad"
"17","primero","第一","Cantidad"
"18","segundo","第二","Cantidad"
"19","tercero","第三","Cantidad"
"20","cuarto","第四","Cantidad"
"21","quinto","第五","Cantidad"
"22","sexto","第六","Cantidad"
"23","séptimo","第七","Cantidad"
"24","octavo","第八","Cantidad"
"25","noveno","第九","Cantidad"
"26","décimo","第十","Cantidad"
"27","orientación","方向","orientación"
"28","dirección","方向","orientación"
"29","orientación","方向","orientación"
"30","lugar","位置","orientación"
"31","sitio","位置","orientación"
"32","este","东边","orientación"
"33","oriente","东边","orientación"
"34","oeste","西边","orientación"
"35","sur","南边","orientación"
"36","norte","北边","orientación"
"37","izquierda","左","orientación"
"38","derecha","右","orientación"
"39","delante","前","orientación"
"40","frente","前","orientación"
"41","datrás","后","orientación"
"42","arriba","上","orientación"
"43","encima","上","orientación"
"44","bajo","下","orientación"
"45","dabajo","下","orientación"
"46","dentro","里边","orientación"
"47","afuera","外边","orientación"
"48","exterior","外边","orientación"
"49","medio","中间","orientación"
"50","lado","旁边","orientación"
"51","enfrente","对面","orientación"
"52","diagral","斜对面","orientación"
"53","allí","那里","orientación"
"54","allá","那里","orientación"
"55","dentro","里头","orientación"
"56","noroeste","西北","orientación"
"57","suroeste","西南","orientación"
"58","brújula","指南针","orientación"
"59","Tiempo","时间","Tiempo"
"60","tiempo","时间","Tiempo"
"61","madrugada","凌晨","Tiempo"
"62","mañana","上午","Tiempo"
"63","mediodía","中午","Tiempo"
"64","tarde","下午","Tiempo"
"65","de día","白天","Tiempo"
"66","de mañana","一早","Tiempo"
"67","medianoche","半夜","Tiempo"
