"index","word","meaning","furi","pos","e.g.","e.g.[voc]","e.g.[eng]"
"1","それ","that, that one","それ","Pronoun","<b>それ</b>はとってもいい 話[はなし]だ。","<b>それ</b>はとってもいい話だ。","That's a really nice story."
"2","一つ","one (thing)","一[ひと]つ","Noun","それを<b> 一[ひと]つ</b>ください。","それを<b>一つ</b>ください。","Please give me one of those."
"3","一","one","一[いち]","Noun","<b> 一[いち]</b>から 始[はじ]めましょう。","<b>一</b>から始めましょう。","Let's start from the beginning."
"4","二","two","二[に]","Noun","その 人[ひと]には<b> 二[に]</b> 回会[かい あ]った。","その人には<b>二</b>回会った。","I met that person twice."
"5","二つ","two (things)","二[ふた]つ","Noun","ソフトクリームを<b> 二[ふた]つ</b>ください。","ソフトクリームを<b>二つ</b>ください。","Please give me two ice cream cones."
"6","三","three","三[さん]","Noun","彼女[かのじょ]は<b> 三[さん]</b> 人[にん]の 子供[こども]の 母親[ははおや]だ。","彼女は<b>三</b>人の子供の母親だ。","She's the mother of three children."
"7","三つ","three (things)","三[みっ]つ","Noun","コップを<b> 三[みっ]つ</b> 買[か]いました。","コップを<b>三つ</b>買いました。","I bought three glasses."
"8","四つ","four (things)","四[よっ]つ","Noun","私[わたし]は 腕時計[うでどけい]を<b> 四[よっ]つ</b> 持[も]っています。","私は腕時計を<b>四つ</b>持っています。","I have four wristwatches."
"9","四","four","四[し]","Noun","<b> 四[し]</b> 月[がつ]に 大学[だいがく]に 入学[にゅうがく]しました。","<b>四</b>月に大学に入学しました。","I entered my university in April."
"10","これ","this, this one","これ","Noun","<b>これ</b>をください。","<b>これ</b>をください。","I'll have this please."
"11","四","four","四[よん]","Noun","ハワイは<b> 四[よん]</b> 回目[かいめ]です。","ハワイは<b>四</b>回目です。","This is my fourth trip to Hawaii."
"12","五つ","five (things)","五[いつ]つ","Noun","桃[もも]を<b> 五[いつ]つ</b>ください。","桃を<b>五つ</b>ください。","I'd like five peaches, please."
"13","五","five","五[ご]","Noun","<b> 五[ご]</b> 人[にん]で 旅行[りょこう]に 行[い]きました。","<b>五</b>人で旅行に行きました。","Five of us went on a trip."
"14","六つ","six (things)","六[むっ]つ","Noun","息子[むすこ]は<b> 六[むっ]つ</b>になりました。","息子は<b>六つ</b>になりました。","My son turned six."
"15","六","six","六[ろく]","Noun","彼[かれ]には 子供[こども]が<b> 六[ろく]</b> 人[にん]います。","彼には子供が<b>六</b>人います。","He has six children."
"16","七","seven","七[なな]","Noun","バナナが<b> 七[なな]</b> 本[ほん]あります。","バナナが<b>七</b>本あります。","There are seven bananas."
"17","七つ","seven (things)","七[なな]つ","Noun","この 子[こ]は 今年[ことし]<b> 七[なな]つ</b>になります。","この子は今年<b>七つ</b>になります。","Our kid's turning seven this year."
"18","八","eight","八[はち]","Noun","りんごを<b> 八[はち]</b> 個[こ]ください。","りんごを<b>八</b>個ください。","Please give me eight apples."
