"index","word","kroman","meaning"
"1","행복하다","haeng-bog-ha-da","To be happy"
"2","기쁘다","gi-bbeu-da","To be glad, happy"
"3","화나다","hwa-na-da","To be angry"
"4","슬프다","seur-peu-da","To be sad"
"5","아프다","a-peu-da","To be sick, painful"
"6","피곤하다","pi-gon-ha-da","To be tired, exhausted"
"7","배가 고프다","bae-ga go-peu-da","To be hungry"
"8","목이 마르다","mog-i ma-reu-da","To be thirsty"
"9","졸리다","jor-ri-da","To be sleepy"
"10","걱정하다","geog-jeong-ha-da","To be worried"
"11","무섭다","mu-seob-da","To be scared"
"12","짜증나다","jja-jeung-na-da","To be annoyed"
"13","놀라다","nor-ra-da","To be surprised"
"14","수줍다","su-jub-da","To be shy"
"15","재미있다","jae-mi-iss-da","To be interesting"
"16","재미없다","jae-mi-eobs-da","To not be interesting"
"17","심심하다","sim-sim-ha-da","To be bored"
"18","지루하다","ji-ru-ha-da","To be boring, dull"
"19","조용하다","jo-yong-ha-da","To be quiet"
"20","시끄럽다","si-ggeu-reob-da","To be loud, noisy"
"21","뜨겁다","ddeu-geob-da","To be hot"
"22","따뜻하다","dda-ddeus-ha-da","To be warm"
"23","차갑다","ca-gab-da","To be cold"
"24","시원하다","si-weon-ha-da","To be cool, refreshing"
"25","신선하다","sin-seon-ha-da","To be fresh"
"26","아름답다","a-reum-dab-da","To be beautiful"
"27","예쁘다","ye-bbeu-da","To be pretty"
"28","귀엽다","gwi-yeob-da","To be cute"
"29","잘생기다","jar-saeng-gi-da","To be good looking"
"30","못생기다","mos-saeng-gi-da","To be ugly"
"31","크다","keu-da","To be big"
"32","작다","jag-da","To be small"
"33","많다","manh-da","To be lots, many"
"34","적다","jeog-da","To be few, little"
"35","좁다","job-da","To be narrow"
"36","넓다","neorb-da","To be wide, broad"
"37","뚱뚱하다","ddung-ddung-ha-da","To be fat, overweight"
"38","통통하다","tong-tong-ha-da","To be chubby"
"39","날씬하다","nar-ssin-ha-da","To be slim, slender"
"40","깡마르다","ggang-ma-reu-da","To be skinny, scrawny"
"41","덥다","deob-da","To be hot (regarding weather)"
"42","뜨겁다","ddeu-geob-da","To be hot (regarding touch, objects)"
"43","따뜻하다","dda-ddeus-ha-da","To be warm (regarding both weather and objects)"
"44","춥다","cub-da","To be cold (regarding weather)"
"45","차갑다","ca-gab-da","To be cold, icy, chilly (regarding touch, objects)"
"46","싸늘하다","ssa-neur-ha-da","To be chilly, frosty"
"47","습하다","seub-ha-da","To be damp, moist, humid"
"48","건조하다","geon-jo-ha-da","To be dry"
"49","흐리다","heu-ri-da","To be cloudy"
"50","좋다","joh-da","To be good, fine"
"51","어렵다","eo-ryeob-da","To be difficult"
"52","쉽다","swib-da","To be easy"
"53","깨끗하다","ggae-ggeus-ha-da","To be clean"
"54","더럽다","deo-reob-da","To be dirty"
"55","빠르다","bba-reu-da","To be fast"
"56","천천하다","ceon-ceon-ha-da","To be slow"
"57","느리다","neu-ri-da","To be slow"
"58","급하다","geub-ha-da","To be urgent"
"59","늦다","neuj-da","To be late"
"60","이르다","i-reu-da","To be early"
"61","똑똑하다","ddog-ddog-ha-da","To be smart, clever"
"62","멍청하다","meong-ceong-ha-da","To be stupid, foolish"
"63","싸다","ssa-da","To be cheap"
"64","비싸다","bi-ssa-da","To be expensive"
"65","새롭다","sae-rob-da","To be new, fresh"
"66","오래되다","o-rae-doe-da","To be old (regarding objects)"
"67","튼튼하다","teun-teun-ha-da","To be strong, sturdy"
"68","씩씩하다","ssig-ssig-ha-da","To be brave"
"69","약하다","yag-ha-da","To be weak, feeble"
"70","건강하다","geon-gang-ha-da","To be healthy"
"71","쓰다","sseu-da","To be bitter"
"72","짜다","jja-da","To be salty"
"73","시큼하다","si-keum-ha-da","To be sour"
"74","맵다","maeb-da","To be spicy"
"75","달콤하다","dar-kom-ha-da","To be sweet"
"76","기름지다","gi-reum-ji-da","To be fatty, greasy, oily"
"77","맛있다","mas-iss-da","To be delicious, tasty"
"78","맛없다","mas-eobs-da","To be not tasty"
"79","가득하다","ga-deug-ha-da","To be full, crammed"
"80","비어 있다","bi-eo iss-da","To be empty"
"81","나쁘다","na-bbeu-da","To be bad, poor"
"82","딱딱하다","ddag-ddag-ha-da","To be hard, stiff"
"83","뾰족하다","bbyo-jog-ha-da","To be sharp, pointed"
"84","부드럽다","bu-deu-reob-da","To be soft"
"85","말랑하다","mar-rang-ha-da","To be soft, tender, ripe"
"86","촉촉하다","cog-cog-ha-da","To be moist"
"87","축축하다","cug-cug-ha-da","To be damp, clammy, wet"
"88","젖다","jeoj-da","To get wet, damp"
"89","건조하다","geon-jo-ha-da","To be dry, arid"
"90","미끄럽다","mi-ggeu-reob-da","To be slippery"
"91","편하다","pyeon-ha-da","To be comfortable"
"92","불편하다","bur-pyeon-ha-da","To be uncomfortable"
"93","괜찮다","gwaen-canh-da","To be alright, ok"
"94","이상하다","i-sang-ha-da","To be weird, strange"
"95","복잡하다","bog-jab-ha-da","To be jammed, crowded"
"96","편리하다","pyeon-ri-ha-da","To be convenient"
"97","다르다","da-reu-da","To be different"
"98","같다","gat-da","To be the same"
"99","착하다","cag-ha-da","To be good-natured, nice"
"100","비열하다","bi-yeor-ha-da","To be mean, nasty"
