"index","word","meaning","meaning2","note","category"
"1","안녕하세요.","Hello!","","A universal polite greeting","dif1 honorific"
"2","감사합니다.","Thank you.","","","dif1 formal"
"3","안녕히 계세요.","Goodbye.","Stay in peace.","Used if you are leaving and the other person is staying.","dif1 honorific"
"4","안녕히 가세요.","Goodbye.","Go in peace.","Used if the other person is leaving.","dif1 honorific"
"5","죄송합니다.","I apologize.","I'm sorry.","Say this if it's your fault, don't say this if you just hear bad news.","dif1 formal"
"6","저기요.","Excuse me!","Hey you, over there!","This is a polite way to get someone's attention.","dif1 polite"
"7","물이에요.","It's water.","","""<span style="""" font-style: normal; font-weight: normal;"""">물 - water,&nbsp;</span><span style="""" font-style: normal; font-weight: normal;"""">이에요 - is.</span>""","dif1 polite"
"8","가방이에요.","It's a bag.","","""<span style="""" font-style: normal; font-weight: normal;"""">가방 - bag,&nbsp;</span><span style="""" font-style: normal; font-weight: normal;"""">이에요 - is</span>""","dif1 polite"
"9","저예요.","It's me.","","""<span style="""" font-style: normal; font-weight: normal;"""">저 - me,&nbsp;</span><span style="""" font-style: normal; font-weight: normal;"""">예요 - is. When the noun ends in a vowel, 이에요 turns into&nbsp;예요.</span>""","dif1 polite"
"10","이거 책이에요.","This is a book.","","""이 - this, 것 (거) - thing,&nbsp;<span style="""" font-style: normal; font-weight: normal;"""">책 - book</span>""","dif1 polite"
"11","이거 카메라예요.","This is a camera.","","""<span style="""" font-style: normal; font-weight: normal;"""">카메라 - camera</span>""","dif1 polite"
"12","이거 뭐예요?","What is this?","","""<span style="""" font-style: normal; font-weight: normal;"""">뭐 - what, 이거 - this</span>""","dif1 polite"
"13","이거 물이에요.","This is water.","","물 - water","dif1 polite"
"14","네, 맞아요.","Yes, that's right.","Yes, that's correct.","""<span style="""" font-style: normal; font-weight: normal;"""">네 - yes, 맞다 - to be correct,&nbsp;</span><span style="""" font-style: normal; font-weight: normal;"""">아요 - present tense ending</span>""","dif1 polite"
"15","우유 아니에요.","It's not milk.","","""<span style="""" font-style: normal; font-weight: normal;"""">우유 - milk,&nbsp;</span><span style="""" font-style: normal; font-weight: normal;"""">아니에요 - is not</span>""","dif1 polite"
