"index","word","meaning","hanzi","category"
"1","네","yes","",""
"2","있다","to exist;<div>to have;</div><div>to stay</div>","",""
"3","학교","school","學校",""
"4","집","house, home","",""
"5","먹다","to eat","",""
"6","친구","friend","親舊",""
"7","아니요","no","",""
"8","보다","to see, to look at","",""
"9","저","I;<div>that (over there)</div>","",""
"10","선생님","teacher","先生-",""
"11","가다","to go","",""
"12","이름","name","",""
"13","한국","Korea","韓國",""
"14","하다","to do","",""
"15","그","that (before nouns)","",""
"16","학생","student","學生",""
"17","없다","to not exist;<div>to not have</div>","",""
"18","어디","where","",""
"19","밥","rice (cooked); meal",""," food "
"20","공부하다","to study","工夫",""
"21","커피","coffee",""," eng food "
"22","사람","person, people","",""
"23","말하다","to speak","",""
"24","책","book","冊",""
"25","아버지","father","",""
"26","좋다","to be good, be nice;<div>to like</div>","",""
"27","시간","time; hours","時間",""
"28","뭐","what","",""
"29","마시다","to drink","",""
"30","영화","movie","映畵",""
"31","어머니","mother","",""
"32","오다","to come","",""
"33","물","water",""," food "
"34","미국","USA","美國",""
"35","크다","to be big","",""
"36","이거","this thing","",""
"37","차","tea;<div>car</div>","茶, 車",""
"38","만나다","to meet","",""
"39","여자","woman, female","女子",""
"40","오늘","today","",""
"41","안녕하다","to be well, be in good health","安寧",""
"42","이","tooth;<div>this</div>","",""
"43","머리","head;<div>hair</div>","",""
"44","주다","to give","",""
"45","책상","desk","冊床",""
"46","누구","who","",""
"47","예쁘다","to be pretty, charming","",""
"48","주스","juice",""," eng food "
"49","영어","English (language)","英語",""
"50","읽다","to read","",""
"51","사랑","love","",""
"52","일","work, matter;<div>day</div>","日",""
"53","어렵다","to be difficult, hard","",""
"54","빨리","quickly","",""
"55","남자","man, male","男子",""
"56","사다","to buy","",""
"57","돈","money","",""
"58","가방","bag","",""
"59","감사하다","to be thankful, thank, appreciate","感謝",""
"60","같이","together","",""
"61","노래","song","",""
"62","듣다","to listen, to hear","",""
"63","전화","telephone","電話",""
"64","제","my","",""
"65","알다","to know","",""
"66","사과","apple;<div>apology</div>","沙果"," food "
"67","여기","here","",""
"68","쓰다","to write;<div>to use</div>","",""
"69","월요일","Monday","月曜日",""
"70","옷","clothes","",""
"71","운동하다","to work out, to exercise","運動",""
"72","어제","yesterday","",""
"73","생각","thought, idea","",""
"74","맛있다","to be delicious, tasty","",""
"75","우유","milk","牛乳"," food "
"76","잘","well","",""
"77","사랑하다","to love","",""
"78","대학교","college","大學校",""
"79","볼펜","ballpoint pen",""," eng "
"80","재미있다","to be fun, interesting","",""
"81","이쪽","this side, our side","",""
"82","방","a room","房",""
"83","자다","to sleep","",""
"84","동생","younger sibling","",""
"85","화요일","Tuesday","火曜日",""
"86","춥다","to be cold (regarding the weather)","",""
"87","일본","Japan","日本",""
"88","왜","why","",""
"89","노래하다","to sing","",""
"90","음악","music","音樂",""
"91","그럼","then, if so;<div>that's right</div>","",""
"92","죄송하다","to be sorry, feel guilty","罪悚",""
"93","서울","Seoul","",""
"94","문","door","門",""
"95","모르다","to not know","",""
"96","아침","morning, breakfast","",""
"97","의자","chair","椅子",""
"98","살다","to live","",""
"99","많이","a lot, many, plenty","",""
"100","질문","question","質問",""
"101","비싸다","to be expensive","",""
"102","말","words, language;<div>horse</div>","",""
"103","요리","cooking, dish","料理",""
"104","앉다","to sit, sit down","",""
"105","언제","when","",""
"106","수요일","Wednesday","水曜日",""
"107","작다","to be small","",""
"108","좀","a little;<div>kindly;<div>certainly</div></div>","",""
"109","지금","now","只今",""
"110","놀다","to hang out, to play","",""
"111","연필","pencil","鉛筆",""
"112","바나나","banana",""," eng food "
"113","시작하다","to start, begin","始作",""
"114","눈","eye;<br>snow","",""
"115","가족","family","家族",""
"116","입다","to wear","",""
"117","김치","kimchi (traditional Korean dish made of seasoned vegetables and other ingredients)",""," food "
"118","내일","tomorrow","來日",""
"119","아프다","to be sick;<div>to hurt, ache</div>","",""
"120","날","day, date;<br>edge","",""
"121","목요일","Thursday","木曜日",""
"122","이야기하다","to talk","",""
"123","저기","over there","",""
"124","청소","cleaning","淸掃",""
"125","바쁘다","to be busy","",""
"126","년","year","年",""
"127","그리고","and","",""
"128","요리하다","to cook","料理",""
"129","오빠","older brother (of a female)","",""
"130","생일","birthday","生日",""
"131","물어보다","to ask, question","",""
"132","끝","end","",""
"133","회사","company, corporation","會社",""
"134","쉽다","to be easy","",""
"135","어떻게","how","",""
"136","중국","China","中國",""
"137","찾다","to look for;<div>to find;</div><div>to withdraw (money)</div>","",""
"138","비","rain;<br>broom","",""
"139","숙제","homework","宿題",""
"140","아니다","to not be","",""
"141","공책","notebook","空冊",""
"142","햄버거","hamburger",""," eng food "
"143","전화하다","to make a phone call","電話",""
"144","가게","shop, store","",""
"145","배","pear;<br>stomach;<br>boat","",""
"146","피곤하다","to be tired","疲困",""
