"index","word","meaning"
"1","preferir","to prefer"
"2","¿Adónde prefieres ir de compras?","Where do you prefer to go shopping?"
"3","¿A La Española o a la juguetería Mimis?","To the Española or Mimis' toys?"
"4","Preferiría ir a Mimis.","I would prefer to go to Mimis'."
"5","Dudamos que María Elena prefiera trabajar en el centro.","We doubt that Maria Elena will prefer to work downtown."
"6","Yo habría preferido ir de paseo.","I would have preferred to go for a stroll."
"7","fundar","to found, to establish, to be one's opinion"
"8","Enrique fundó una nueva compañía.","Henry founded a new company."
"9","La habría fundado antes pero necesitaba más dinero.","He would have founded it before but he needed more money."
"10","Ella fundaba su opinión en las estadísticas que leyó.","She based her opinion on the statistics that she read."
"11","presentar","to present, to introduce (a person), to display"
"12","El empleado presentó su renuncia al supervisor.","The clerk presented his resignation to his supervisor."
"13","El banquero estaba presentando al nuevo inversionista.","The banker was introducing the new investor."
"14","Presentaron la nueva mercancía en la exposición.","They displayed the new merchandise in the exhibition."
"15","Ella se presentó a la fiesta sola.","She showed up at the party alone."
"16","bendecir","to bless, to consecrate"
"17","Los padres bendicen a sus hijos todos los días.","The parents bless their children every day."
"18","El cura bendecirá a los feligreses después de la misa.","The priest will bless the congregation after the mass."
"19","Esperamos que la beata haya bendecido las cruces.","We hope the lay sister has blessed the crosses."
"20","¡Bendita seas!","Be blessed!"
"21","nacer","to be born"
"22","Mario nació en Bogotá.","Mario was born in Bogota."
"23","¡Los pollitos han nacido!","The chicks have been born!"
"24","Su sonrisa nace de su felicidad.","Her smile is born from her happiness."
"25","Nacieron muchas plantitas en el jardín.","Many plants were germinated in the garden."
"26","Él nació con estrella.","He was born lucky."
"27","manejar","to drive, to handle, to manage"
"28","Ella manejaba un auto verde cuando la vi.","She was driving a green car when I saw her."
"29","Espero que Carlos maneje el carro con mucho cuidado.","I hope Carlos drives the car very carefully."
"30","Creo que ellos manejarán esa cuenta a través de la oficina central.","I think they will handle that account via the corporate office."
"31","Si yo hubiera manejado este asunto no habríamos tenido tantos problemas.","If I had managed this matter myself we wouldn't have had so many problems."
"32","llegar","to arrive, to reach, to get"
"33","Llegué al aeropuerto justo cuando el avión llegaba.","I arrived at the airport just when the airplane was landing."
"34","Están llegando los reporteros también.","The reporters are arriving too."
"35","El hombre habría llegado a tiempo pero el auto se le descompuso.","The man would have arrived on time but his car broke down."
"36","Ella llegó a la meta.","She reached the goal."
"37","contener","to contain, to hold"
"38","Esa botella contiene un litro.","That bottle contains one liter."
"39","Los bomberos han contenido el incendio a tiempo.","The firefighters have contained the fire just in time."
"40","Ella se contuvo de decirle la verdad.","She held herself back from telling him the truth."
"41","Habría llorado si no me hubiese contenido.","I would have cried if I hadn't held myself back."
"42","enfermarse","to get sick, to become ill"
"43","En el barco todos los pasajeros se enfermaron al mismo tiempo.","On the ship all passengers got sick at the same time."
"44","Si se hubiesen enfermado unos pocos los habrían ayudado en el puerto.","If a few had gotten sick they would have been helped at the port."
"45","¿Qué harías si te enfermaras?","What would you do if you got sick?"
"46","registrar","to examine, to inspect, to search"
"47","La policía registró el auto en busca del contrabando.","The police inspected the car searching for the contraband."
"48","Le registraron la cartera a la actriz antes de salir de la tienda.","They examined the actress's purse before she left the store."
